Device ID,Time,Temperature,Humidity,Temperature_ma,Humidity_ma
"""inTelli-Gee_prototype_v0.1_serial_1""",484.0,20.8,75.2,,
"""inTelli-Gee_prototype_v0.1_serial_1""",485.0,20.8,75.2,,
"""inTelli-Gee_prototype_v0.1_serial_1""",486.0,20.8,75.2,,
"""inTelli-Gee_prototype_v0.1_serial_1""",487.0,20.8,75.2,,
"""inTelli-Gee_prototype_v0.1_serial_1""",488.0,20.8,75.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",489.0,20.8,75.3,,
"""inTelli-Gee_prototype_v0.1_serial_1""",490.0,20.6,75.1,,
"""inTelli-Gee_prototype_v0.1_serial_1""",491.0,20.6,75.1,,
"""inTelli-Gee_prototype_v0.1_serial_1""",492.0,20.8,75.2,,
"""inTelli-Gee_prototype_v0.1_serial_1""",493.0,20.8,75.2,,
"""inTelli-Gee_prototype_v0.1_serial_1""",494.0,20.7,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",495.0,20.7,75.0,,
"""inTelli-Gee_prototype_v0.1_serial_1""",496.0,20.8,75.1,,
"""inTelli-Gee_prototype_v0.1_serial_1""",497.0,20.8,75.1,20.931333333333356,74.52466666666669
"""inTelli-Gee_prototype_v0.1_serial_1""",498.0,20.9,75.5,20.93066666666669,74.53133333333335
"""inTelli-Gee_prototype_v0.1_serial_1""",499.0,20.9,75.5,20.930000000000017,74.53800000000001
"""inTelli-Gee_prototype_v0.1_serial_1""",500.0,20.8,75.4,20.929000000000016,74.54433333333336
"""inTelli-Gee_prototype_v0.1_serial_1""",501.0,20.8,75.4,20.92800000000002,74.5506666666667
"""inTelli-Gee_prototype_v0.1_serial_1""",502.0,20.7,75.2,20.92666666666668,74.55600000000004
"""inTelli-Gee_prototype_v0.1_serial_1""",503.0,20.7,75.2,20.925333333333345,74.56133333333338
"""inTelli-Gee_prototype_v0.1_serial_1""",504.0,20.8,75.2,20.924333333333347,74.56666666666672
"""inTelli-Gee_prototype_v0.1_serial_1""",505.0,20.8,75.2,20.923333333333346,74.57200000000006
"""inTelli-Gee_prototype_v0.1_serial_1""",506.0,20.9,75.3,20.922333333333345,74.57700000000006
"""inTelli-Gee_prototype_v0.1_serial_1""",507.0,20.9,75.3,20.921333333333344,74.58200000000005
"""inTelli-Gee_prototype_v0.1_serial_1""",508.0,20.8,75.2,20.920333333333343,74.58633333333339
"""inTelli-Gee_prototype_v0.1_serial_1""",509.0,20.8,75.2,20.91933333333334,74.59066666666672
"""inTelli-Gee_prototype_v0.1_serial_1""",510.0,20.7,75.2,20.918000000000006,74.59466666666673
"""inTelli-Gee_prototype_v0.1_serial_1""",511.0,20.7,75.2,20.91666666666667,74.59866666666672
"""inTelli-Gee_prototype_v0.1_serial_1""",512.0,20.7,75.2,20.915333333333336,74.60300000000005
"""inTelli-Gee_prototype_v0.1_serial_1""",513.0,20.7,75.2,20.914,74.60733333333339
"""inTelli-Gee_prototype_v0.1_serial_1""",514.0,20.8,75.2,20.913,74.61200000000005
"""inTelli-Gee_prototype_v0.1_serial_1""",515.0,20.8,75.2,20.912000000000003,74.61666666666673
"""inTelli-Gee_prototype_v0.1_serial_1""",516.0,20.8,75.3,20.911,74.62200000000006
"""inTelli-Gee_prototype_v0.1_serial_1""",517.0,20.8,75.3,20.91,74.62733333333338
"""inTelli-Gee_prototype_v0.1_serial_1""",518.0,20.8,75.4,20.909,74.63300000000005
"""inTelli-Gee_prototype_v0.1_serial_1""",519.0,20.8,75.4,20.907999999999998,74.63866666666672
"""inTelli-Gee_prototype_v0.1_serial_1""",520.0,20.8,75.5,20.906999999999996,74.64400000000005
"""inTelli-Gee_prototype_v0.1_serial_1""",521.0,20.8,75.5,20.906,74.64933333333337
"""inTelli-Gee_prototype_v0.1_serial_1""",522.0,20.8,75.3,20.904999999999998,74.65366666666671
"""inTelli-Gee_prototype_v0.1_serial_1""",523.0,20.8,75.3,20.903999999999996,74.65800000000004
"""inTelli-Gee_prototype_v0.1_serial_1""",524.0,20.8,75.2,20.902999999999995,74.66200000000005
"""inTelli-Gee_prototype_v0.1_serial_1""",525.0,20.8,75.2,20.901999999999994,74.66600000000004
"""inTelli-Gee_prototype_v0.1_serial_1""",526.0,20.8,75.2,20.900999999999996,74.67033333333337
"""inTelli-Gee_prototype_v0.1_serial_1""",527.0,20.8,75.2,20.899999999999995,74.67466666666671
"""inTelli-Gee_prototype_v0.1_serial_1""",528.0,20.8,75.2,20.898999999999994,74.6796666666667
"""inTelli-Gee_prototype_v0.1_serial_1""",529.0,20.8,75.2,20.897999999999993,74.68466666666671
"""inTelli-Gee_prototype_v0.1_serial_1""",530.0,20.8,75.2,20.89699999999999,74.68966666666671
